,Unnamed: 0,URL,ID,Name,Subtitle,Icon URL,Average User Rating,User Rating Count,Price,In-app Purchases,Description,Developer,Age Rating,Languages,Size,Primary Genre,Genres,Original Release Date,Current Version Release Date,genre,Download,Income
11,11,https://apps.apple.com/us/app/lumen-lite/id288096268,288096268,Lumen Lite,,https://is1-ssl.mzstatic.com/image/thumb/Purple71/v4/b9/ab/5a/b9ab5a52-aea9-fc5c-02f6-2e892192d3c8/source/512x512bb.jpg,3.5,5072.0,0.0,,"""The objective of Lumen is to light up all the checkpoints in the puzzle by bouncing, coloring, and maneuvering a laser beam through obstacles. \n\nLumen is meant to be picked up quickly, and enjoyed endlessly. There are only 5 simple parts to learn before you can begin playing.\n\nPuzzles can be enjoyed leisurely, even put down and resumed later, as there are no timers or scores. Just sit back and relax with Lumen.\n\nThe full (non-Lite) version of Lumen has access to an online database of over 2,100 puzzles. If you enjoy Lumen Lite's puzzles, please take a look at the full version.""",Bridger Maxwell,4+,EN,7086403.0,Games,"Games, Puzzle, Strategy",18/08/2008,22/11/2008,Puzzle,101440.0,7628.2880000000005
12,12,https://apps.apple.com/us/app/bubblepop/id288669794,288669794,BubblePop,,https://is2-ssl.mzstatic.com/image/thumb/Purple/v4/78/f2/6e/78f26eab-13c6-67dd-25ce-f40ce97f16d2/source/512x512bb.jpg,3.0,526.0,0.0,,"Are you ready for some popping?  Once you pop you can\u2019t stop!  This fast paced game is easy to learn but impossible to master.\n\nBubbles must be popped in order from the lowest to highest number.  Pop as many as you can for points but do so before time runs out.  Make a mistake and you\u2019ll lose time.  Clear a round and you\u2019ll earn bonus time. The more bubbles you pop the harder it gets!  Warning: Extremely addicting.  \n\nCan you get highest pop score?\n\nFeatures:\n- Easy, Medium, Hard levels\n- Worldwide high scores system\n- Lots of bouncing bubbles\n- Fast action popping\n- Fun animations and sound\n- Increasing difficulty",TMSOFT,4+,EN,845008.0,Games,"Games, Strategy, Entertainment",22/08/2008,25/07/2009,Strategy,10520.0,791.104
13,13,https://apps.apple.com/us/app/marple/id288689440,288689440,Marple,,https://is3-ssl.mzstatic.com/image/thumb/Purple123/v4/9b/e2/43/9be24321-c9b4-241f-fe56-624427a6dad6/source/512x512bb.jpg,3.5,989.0,0.99,,"AWARDED ""BEST PUZZLER"" IN MACWORLD\'S ""THE BEST GAMES OF 2008""!\n\nNOMINEE FOR ""BEST PUZZLE GAME"" IN ""2008 BEST APP EVER AWARDS""!\n\nRATED ""BETTER"" IN APPREVIEW!\n\n\nGetting tired of Sudoku? Why not try Marple?\n\nMarple is a game of logic and deduction. The playing field consists of 20 tiles arranged in 4 rows of 5 columns each and a set of clues. The goal of the game is to figure out the correct order of those 20 tiles using the given clues by process of elimination.\n\nThere are four different types of clues: ""In between"", ""Left of"", ""Same column"" and ""Next to"". ""In between"" clue tells that the middle tile has to be located in between the other two. It however does not tell the order of the other two tiles or how far they are from the middle one. ""Left of"" clue tells that the left tile has to be located left of the right tile. It however does not tell how far apart they are. ""Same column"" clue tells that the two tiles have to be on the same column. ""Next to"" clue tells that the two tiles are adjacent to each other. It however does not tell the order of the two tiles.\n\nFeatures:\n * 1,000,000 fiendishly clever puzzles to play so don\'t expect to run out of them any time soon! At 3 minutes / puzzle, 1 hour / day = ca. 137 years of puzzles!\n * Tutorial mode\n * Hint system that highlights a clue that you should be concentrating on next and also explains exactly what you should be doing next.\n * Graphical help with beginner tips",Mikko Kankainen,4+,EN,3643392.0,Games,"Games, Puzzle, Strategy",28/08/2008,5/05/2019,Puzzle,19780.0,1487.4560000000001
14,14,https://apps.apple.com/us/app/tetravex-lite/id288918962,288918962,Tetravex Lite,,https://is3-ssl.mzstatic.com/image/thumb/Purple/v4/94/b3/96/94b396bd-f59e-7d1f-52cb-f0b388939c0e/source/512x512bb.jpg,2.5,2358.0,0.0,,"Play the classic edge matching puzzle game Tetravex on your iPhone or iPod Touch!  Arrange the tiles in the playing area so that the colors match along tile edges.  But think carefully -- the game can be more challenging than it looks!\n\nFeatures:\n\nFour difficulty levels: simple, easy, medium and hard.  Tetravex can be easy enough for children, or difficult enough to confound even the strongest minds.\n\nOnline and local high scores.  Try to beat your best times on easy, medium, and hard, or challenge your friends and the world for the top spots on  medium and hard.\n\nNever lose progress.  Tetravex always saves your game so that you can resume it later.  And if you get a high score while your device has no network connection, Tetravex will submit it next time you connect.\n\nThe Lite edition of Tetravex limits you to the simple and easy difficulty levels.  If you demand a true challenge, just follow one of the in game links to purchase the full version!",Futrell Software,4+,EN,731525.0,Games,"Games, Puzzle, Strategy, Entertainment",27/08/2008,21/10/2008,Puzzle,47160.0,3546.4320000000002
15,15,https://apps.apple.com/us/app/awele-oware-mancala-hd/id289217958,289217958,Awele/Oware - Mancala HD,,https://is3-ssl.mzstatic.com/image/thumb/Purple5/v4/86/74/14/86741450-2965-c032-dcfc-40ab5af1f09b/source/512x512bb.jpg,3.0,112.0,0.0,0.99,"Awele/Oware is the oldest African board game and is still widely played throughout the world today. It\'s known by many names. Awele/Oware is a game of strategy and is easy to learn and fun to play. You can play against the computer or a friend. The object of the game is to capture more seeds than your opponent. You sow seeds and capture seeds from you opponent, all the while not starving your opponent. For more information on Awele/Oware, see the Wikipedia page at ""http://en.wikipedia.org/wiki/Oware""\n\n- Full HD retina\n- One or Two players\n- 5 different themes\n- 3 different difficulty levels\n- Game Center",SOLILAB,4+,"EN, FR, DE, IT, ES",122826752.0,Games,"Games, Strategy, Board",31/08/2008,6/04/2015,Strategy,2240.0,168.448
16,16,https://apps.apple.com/us/app/awele-oware-mancala-hd/id289217958,289217958,Awele/Oware - Mancala HD,,https://is3-ssl.mzstatic.com/image/thumb/Purple5/v4/86/74/14/86741450-2965-c032-dcfc-40ab5af1f09b/source/512x512bb.jpg,3.0,112.0,0.0,0.99,"Awele/Oware is the oldest African board game and is still widely played throughout the world today. It\'s known by many names. Awele/Oware is a game of strategy and is easy to learn and fun to play. You can play against the computer or a friend. The object of the game is to capture more seeds than your opponent. You sow seeds and capture seeds from you opponent, all the while not starving your opponent. For more information on Awele/Oware, see the Wikipedia page at ""http://en.wikipedia.org/wiki/Oware""\n\n- Full HD retina\n- One or Two players\n- 5 different themes\n- 3 different difficulty levels\n- Game Center",SOLILAB,4+,"EN, FR, DE, IT, ES",122826752.0,Games,"Games, Strategy, Board",31/08/2008,6/04/2015,Strategy,2240.0,168.448
17,17,https://apps.apple.com/us/app/chess-game/id289382458,289382458,Chess Game,,https://is2-ssl.mzstatic.com/image/thumb/Purple124/v4/72/28/9d/72289df1-1ec6-10f5-8e81-c2e2cad71bc8/source/512x512bb.jpg,3.0,504.0,0.0,,"""How about a nice game of chess?"" -- Joshua, in WarGames\n\nCurrent version has these features:\n- 5 Levels \n- Undo/Redo\n- Move history\n- Load/Save games\n- Play by email\n- Play One on One\n- Swap side\n- Show valid moves when playing level 1\n\n...delete games with a standard swipe gesture. This is, in the game list, place your finger on a games name and swipe right and a Delete button will appear.\n\nThe emails sent with the Play by email feature should be read on a iPhone/iPod touch and when receiving an email one only need to tap the link in the email.",Memention Holding AB,4+,EN,444163.0,Games,"Games, Board, Strategy",2/09/2008,7/10/2009,Board,10080.0,758.0160000000001
18,18,https://apps.apple.com/us/app/catcha-mouse/id290493286,290493286,Catcha Mouse,,https://is1-ssl.mzstatic.com/image/thumb/Purple2/v4/a8/da/9f/a8da9f8c-024d-007c-735c-e014d20f4cf7/source/512x512bb.jpg,3.5,95971.0,0.0,"1.99, 0.99, 1.99, 0.99, 4.99, 1.99, 1.99","*More than 4 Million downloads!!!\n\n#1 iPhone Free App in USA, Canada, UK, France, Spain, Sweden, Finland, Australia, Argentina, Paraguay and Lithuania.\n\n""Little games like Catcha Mouse are equally compelling reasons to reject important phone calls. Plus, and we can\'t stress this enough, it\'s so totally free.""  - joystiq.com\n\nCatcha Mouse is a very easy to learn game!\nYou\'ll have to use all your wit to corner the mouse before he escapes through the holes!\nIt\'s a fun way of testing your intelligence and improving your skills!\nIf you enjoy challenging games, you will love Catcha Mouse!\n\nFor news and updates follow us on: twitter.com/odasoft and facebook.com/odaSoft\n\n\nFeatures:\n\n- 600 challenging levels.\n\n- Lovable graphics and sounds.\n\n- Game Center Leaderboards.","Meme, Inc",4+,EN,26820692.0,Games,"Games, Puzzle, Strategy",19/02/2009,26/04/2013,Puzzle,1919420.0,144340.38400000002
19,19,https://apps.apple.com/us/app/cool-sudoku-jigsaw-killer/id290614255,290614255,"Cool Sudoku, Jigsaw, Killer","Sudoku, Jigsaw, Killer, Kakuro",https://is5-ssl.mzstatic.com/image/thumb/Purple113/v4/14/1b/5c/141b5c79-5c75-207c-684c-b1be2563ab71/source/512x512bb.jpg,3.5,357.0,0.0,"0.99, 0.99, 0.99","You can now play Sudoku, Killer Sudoku, Jigsaw Sudoku, Kakuro,Mini Sudoku, Sudoku X, Hitori, Nurikabe and Futoshiki from the one application.\n\nOur puzzles are published worldwide including the Daily Telegraph, Chicago Tribune and LA Times. All our puzzles are expertly graded and we guarantee that there is only one solution. Our puzzles can be solved using logical methods with no guesswork required.\n\nWe run a daily competition for each puzzle type and you can submit your completed entry and view your position on our daily leader board. \n\nYou can practice Sudoku puzzles by choosing from our graded puzzles - Gentle, Moderate, Tough and Diabolical.\n\nWith both the Daily puzzles and the Practice Puzzles, we save your progress as you go, stopping the clock as you exit. All pencil marks are saved when you exit.\n\nThe display is clear and easy to read and you can also display possibles for any cell. You can enter pencil marks for all puzzle types. Pencil marks are saved when you exit the application or receive a phone call.",Splash Software Ltd.,4+,EN,52236288.0,Games,"Games, Strategy, Puzzle, Entertainment",24/09/2008,26/04/2019,Strategy,7140.0,536.928
20,20,https://apps.apple.com/us/app/mind-the-corners/id291074572,291074572,Mind the Corners,,https://is5-ssl.mzstatic.com/image/thumb/Purple71/v4/bc/13/11/bc1311d4-0725-88f7-4bda-b2817bbeb7a8/source/512x512bb.jpg,3.0,7.0,0.99,,"""Mind the Corners is a board game where the goal is to place as many of your pieces on the grid as possible. Each piece consists of 1 to 5 square blocks, and scoring is by the number of unplayed squares (lowest score wins). There is a simple rule for what moves are allowed: the new piece must touch one of the player's own pieces, but only at a corner. Each player's first piece is played at one of the corners of the board.\n\nPlay is adjustable: 2-4 players (any of which can be computer players), different board sizes, a variable number of randomly placed blocking squares, player colors,  and whether piece placement is by dragging or selection.""",Zentropy Software,4+,EN,1530880.0,Games,"Games, Strategy, Entertainment, Board",19/09/2008,26/10/2016,Strategy,140.0,10.528
24,24,https://apps.apple.com/us/app/boomshine/id292242592,292242592,Boomshine,,https://is3-ssl.mzstatic.com/image/thumb/Purple117/v4/1b/6b/ef/1b6bef71-6d71-1ee1-8f3c-76fabc8fb2c6/source/512x512bb.jpg,4.0,637.0,0.99,,Boomshine is an addictive casual game. Touch the screen to start a chain reaction and try to explode as many dots as needed to pass a level. The game contains 12 levels ranging from the easy to the hard (25 tries on average to beat level 12).\n\nTry the original flash version online at http://www.k2xl.com/games/boomshine,TwoDesk Software Company,4+,EN,22873088.0,Games,"Games, Puzzle, Entertainment, Strategy",7/10/2008,20/05/2017,Puzzle,12740.0,958.048
25,25,https://apps.apple.com/us/app/gaia-lite/id292274288,292274288,Gaia Lite,,https://is1-ssl.mzstatic.com/image/thumb/Purple/v4/5c/7c/d5/5c7cd5b4-0b74-4360-bbe6-8a2667507020/source/512x512bb.jpg,3.5,1563.0,0.0,,"Maximize your score for the first four levels of our top rated puzzle game in this free version. If you like Gaia lite and want more challenges then purchase the Gaia full version.\n\nCritics on the full version of Gaia...\n\n""One of the most usable iPhone games we\u2019ve played yet [...] This beautifully crafted puzzle game deserves a spot on every iPhone."" - SlideToPlay.com (4/4 Must Have)\n\n""The unique visual style and sound effects [...] make Gaia the puzzle game worth playing."" -FingerGaming.com (4/5 Stars)\n\n""Fantastic iPhone puzzle game that\'s sometime familiar, sometimes new and always fun to play."" - TiltGamer.com\n(8/10 + Editor\'s Choice)\n\nUnique and Captivating...\n\nEngaging graphics and clever gameplay combine to create a never-before-seen experience only possible on the iPhone.\n\nGaia is simple: pieces fall onto the screen and link together to form complex blocks. By rotating the iPhone and eliminating the right blocks with a touch, a player can grow a larger block and earn more points. In this way, Gaia rewards deep thinking players while remaining simple and intuitive.\n\nWe take pride in Gaia\'s satisfying responsiveness and ease of play. So be careful, you may find yourself addicted. We did.\n\nGaia lite Features:\n- Four levels. Full game continues with unlimited levels and increasing difficulty until the player runs out of moves.\n- Includes 10 hand-illustrated nature themed pieces. Full Game has 10 more.\n- Watch out for Toxic Hazards. Full game includes Radioactive, and Biological hazards!\n- Touch sign your highscores with your initials (or draw a picture)\n- Points multipliers. Full Game includes bonus levels.\n- Soothing sound effects and autosave on quit or phone call\n- No language - uses only universal symbols - so anyone can play!",Quicksand Interactive,4+,EN,6550985.0,Games,"Games, Strategy, Puzzle",2/10/2008,2/10/2008,Strategy,31260.0,2350.752
